time;force_x;force_y;force_z;torque_x;torque_y;torque_z
0.0;8.7;-12.0;259.2;5.96;-2.8;-1.25
0.019977092742919922;8.7;-11.9;258.4;5.94;-2.76;-1.26
0.03997087478637695;8.7;-11.8;256.7;5.9;-2.51;-1.27
0.06003761291503906;8.6;-11.6;255.6;5.84;-2.38;-1.26
0.08012247085571289;8.5;-11.5;253.9;5.75;-2.22;-1.25
0.10025501251220703;8.1;-11.1;251.8;5.65;-2.21;-1.23
0.12006711959838867;8.1;-10.8;251.5;5.61;-2.21;-1.24
0.14011859893798828;8.3;-10.8;251.4;5.61;-2.19;-1.27
0.15999078750610352;8.2;-11.1;251.9;5.65;-2.23;-1.27
0.17995357513427734;8.4;-11.2;252.5;5.71;-2.31;-1.27
0.20017147064208984;8.4;-11.7;253.7;5.84;-2.64;-1.26
0.2199993133544922;8.4;-11.9;257.2;5.89;-2.81;-1.24
0.23999524116516113;8.9;-11.7;259.1;5.89;-2.91;-1.2
0.26012706756591797;8.6;-11.9;258.9;5.92;-2.89;-1.22
0.28006815910339355;8.5;-12.0;259.3;5.91;-2.88;-1.23
0.3001387119293213;8.7;-11.8;258.8;5.88;-2.81;-1.25
0.3202848434448242;9.1;-11.8;257.8;5.84;-2.42;-1.27
0.34003329277038574;8.6;-11.7;256.3;5.84;-2.39;-1.26
0.3599979877471924;8.1;-11.8;254.4;5.77;-2.25;-1.24
0.37999987602233887;8.1;-11.5;253.6;5.69;-2.26;-1.22
0.40000152587890625;8.1;-11.3;253.1;5.61;-2.25;-1.22
0.4199950695037842;8.0;-11.3;252.8;5.58;-2.24;-1.25
0.43996334075927734;8.3;-11.2;253.0;5.57;-2.25;-1.27
0.460407018661499;8.2;-11.4;253.8;5.62;-2.43;-1.27
0.480008602142334;8.1;-11.7;254.1;5.73;-2.66;-1.27
0.500136137008667;8.3;-11.8;255.0;5.81;-2.83;-1.24
0.5199432373046875;8.3;-11.9;256.3;5.86;-2.86;-1.23
0.5401327610015869;8.4;-11.8;257.2;5.89;-2.85;-1.23
0.5599548816680908;8.4;-11.9;258.5;5.91;-2.88;-1.24
0.5799901485443115;8.2;-11.9;258.7;5.9;-2.88;-1.25
0.6001307964324951;8.1;-11.6;258.0;5.88;-2.63;-1.26
0.6199634075164795;8.2;-11.8;257.8;5.88;-2.47;-1.27
0.639991044998169;8.4;-11.7;257.0;5.86;-2.27;-1.27
0.6603255271911621;8.0;-11.7;255.7;5.84;-2.32;-1.25
0.6799795627593994;7.7;-11.6;254.6;5.8;-2.37;-1.25
0.6999518871307373;7.8;-11.2;253.8;5.74;-2.36;-1.26
0.7199831008911133;7.9;-11.0;252.9;5.7;-2.34;-1.28
0.7400965690612793;8.0;-11.1;252.9;5.7;-2.34;-1.29
0.7601237297058105;8.0;-11.1;253.3;5.74;-2.44;-1.29
0.7800657749176025;8.0;-11.4;253.9;5.82;-2.69;-1.27
0.8001172542572021;7.8;-11.5;254.5;5.9;-2.83;-1.25
0.8202066421508789;8.0;-11.7;255.6;5.94;-2.86;-1.24
0.8400843143463135;8.2;-11.7;257.0;5.96;-2.85;-1.25
0.8600649833679199;8.2;-11.7;257.1;5.96;-2.86;-1.26
0.8800630569458008;8.0;-11.6;258.3;5.95;-2.92;-1.24
0.9000649452209473;8.2;-11.7;257.7;5.96;-2.82;-1.3
0.9200501441955566;8.0;-11.7;256.5;5.94;-2.55;-1.32
0.9401342868804932;8.1;-11.5;255.9;5.91;-2.47;-1.28
0.9601657390594482;7.8;-11.6;254.6;5.87;-2.39;-1.29
0.9799928665161133;7.6;-11.6;254.0;5.84;-2.38;-1.29
1.0000007152557373;7.5;-11.4;253.6;5.78;-2.38;-1.28
1.0200045108795166;7.8;-11.1;253.7;5.72;-2.32;-1.25
1.040273666381836;7.7;-11.4;253.7;5.75;-2.37;-1.3
1.0601434707641602;7.7;-11.5;254.5;5.79;-2.45;-1.33
1.0799901485443115;7.9;-11.7;254.9;5.85;-2.54;-1.32
1.099959373474121;8.0;-12.0;256.3;5.93;-2.8;-1.31
1.1201465129852295;8.2;-12.2;258.0;5.96;-2.94;-1.26
1.1399664878845215;8.2;-12.1;257.9;5.95;-2.96;-1.24
1.1601216793060303;8.3;-12.0;258.5;5.93;-2.98;-1.24
1.179931640625;8.3;-12.0;258.1;5.9;-2.99;-1.24
1.2001869678497314;8.4;-12.0;257.6;5.85;-2.9;-1.27
1.2199699878692627;8.4;-12.0;256.1;5.76;-2.59;-1.3
1.2399699687957764;8.0;-12.1;255.0;5.75;-2.5;-1.3
1.2599668502807617;8.3;-11.6;253.2;5.73;-2.34;-1.26
1.2799692153930664;7.9;-11.6;254.1;5.75;-2.4;-1.23
1.2999789714813232;8.0;-11.6;254.2;5.75;-2.42;-1.22
1.3201532363891602;8.2;-11.5;255.5;5.76;-2.4;-1.24
1.3401436805725098;8.3;-11.7;256.3;5.79;-2.41;-1.27
1.3599309921264648;8.4;-11.8;256.8;5.82;-2.41;-1.3
1.3800389766693115;8.3;-11.9;257.4;5.88;-2.5;-1.3
1.4001002311706543;8.3;-12.0;257.5;5.91;-2.67;-1.27
1.4199578762054443;8.6;-11.9;257.9;5.94;-2.89;-1.24
1.4399502277374268;8.9;-12.0;257.8;5.93;-2.86;-1.22
1.4601573944091797;8.9;-11.9;257.1;5.88;-2.87;-1.2
1.4799253940582275;8.9;-11.7;256.8;5.82;-2.87;-1.23
1.4999737739562988;8.8;-11.8;255.9;5.78;-2.87;-1.24
1.5201621055603027;8.7;-11.7;255.2;5.71;-2.8;-1.24
1.539957046508789;8.4;-11.6;253.9;5.68;-2.61;-1.26
1.5599448680877686;8.6;-11.7;253.6;5.66;-2.41;-1.25
1.5799565315246582;8.4;-11.6;253.0;5.66;-2.37;-1.24
1.5999815464019775;7.9;-11.8;250.2;5.51;-1.99;-1.21
1.6201066970825195;9.8;-9.1;232.9;3.96;-0.74;-1.33
1.6399598121643066;10.5;-7.1;202.5;1.77;0.19;-1.59
1.6599280834197998;10.6;-5.2;166.0;-0.09;1.22;-1.69
1.6799235343933105;11.0;-2.5;130.0;-1.42;2.04;-1.68
1.6999306678771973;12.3;-2.4;110.7;-2.08;2.79;-1.64
1.7199430465698242;10.3;-1.3;92.2;-2.21;2.93;-1.36
1.740036964416504;10.6;-0.3;84.9;-2.38;2.84;-1.09
1.7599518299102783;7.6;0.7;78.0;-2.54;2.71;-0.78
1.7799546718597412;7.3;2.8;79.6;-2.74;2.8;-0.76
1.8001430034637451;9.6;2.7;85.9;-2.79;3.04;-0.63
1.8200128078460693;8.1;2.0;85.8;-2.7;2.92;-0.65
1.840052604675293;7.7;1.5;83.6;-2.15;2.85;-0.8
1.8601417541503906;8.0;-9.1;112.5;-4.67;2.98;-0.84
1.8800182342529297;9.7;-15.8;191.8;-10.88;2.72;-0.27
1.8999488353729248;25.8;-29.8;369.5;-18.44;2.33;0.79
1.919961929321289;41.4;-32.8;608.1;-25.25;1.94;2.03
1.9402611255645752;60.4;-69.1;762.4;-17.15;4.02;1.64
1.960087537765503;54.2;-69.7;746.4;-8.79;4.29;3.11
1.9799466133117676;54.1;-42.9;626.0;-8.99;4.79;5.14
2.000084161758423;53.2;-44.2;727.2;-5.04;0.38;4.44
2.0199594497680664;32.4;-52.3;772.5;0.0;-7.41;2.87
2.0400893688201904;13.5;-45.8;691.9;2.46;-12.3;3.5
2.0599417686462402;0.6;-34.9;697.2;2.97;-15.95;3.42
2.079953193664551;-4.0;-28.4;740.3;4.11;-18.58;2.25
2.0999596118927;6.1;-26.6;711.2;5.79;-15.01;0.61
2.120013475418091;19.0;-24.3;693.4;7.62;-9.33;-0.97
2.139960527420044;30.1;-27.4;725.7;10.76;-5.3;-3.13
2.1599771976470947;40.5;-34.6;707.5;13.73;-2.02;-5.0
2.179934501647949;47.1;-42.5;691.9;17.12;-0.3;-5.73
2.199942111968994;41.9;-50.2;715.6;20.13;-3.85;-5.67
2.219944953918457;35.4;-58.1;728.5;22.3;-8.81;-5.52
2.2399346828460693;26.7;-58.7;707.9;22.22;-12.46;-4.66
2.2599220275878906;19.6;-54.1;716.5;21.12;-16.91;-3.03
2.2801599502563477;15.8;-48.3;727.1;18.48;-20.15;-1.32
2.2999138832092285;21.6;-41.7;723.3;16.08;-19.54;-0.57
2.3201003074645996;30.1;-33.3;703.1;12.74;-16.58;-0.27
2.339906692504883;43.5;-27.8;709.3;9.78;-14.73;-0.53
2.3603949546813965;54.1;-23.7;702.2;7.23;-13.46;-0.9
2.379918098449707;57.1;-26.4;700.7;7.37;-13.8;-1.66
2.4000983238220215;53.2;-27.4;712.4;7.15;-18.01;-1.87
2.4199376106262207;49.6;-39.7;711.3;8.32;-21.9;-2.85
2.4399468898773193;47.2;-53.5;704.6;9.08;-23.07;-4.38
2.459961414337158;38.5;-56.5;721.1;8.56;-25.78;-5.2
2.4799346923828125;31.6;-57.6;714.0;7.33;-27.62;-5.66
