time;force_x;force_y;force_z;torque_x;torque_y;torque_z
0.0;12.6;-22.1;175.8;10.57;2.8;-1.47
0.019975662231445312;12.6;-18.8;190.7;10.18;2.99;-1.15
0.0398709774017334;13.6;-16.3;204.4;10.02;3.24;-0.97
0.05993342399597168;13.7;-15.2;204.7;9.59;3.48;-0.94
0.07990813255310059;16.1;-16.2;187.8;8.98;3.28;-1.18
0.09978604316711426;16.0;-16.8;152.1;7.96;3.42;-1.46
0.11985588073730469;13.8;-21.5;128.4;8.14;2.99;-1.67
0.13986420631408691;13.8;-23.0;130.9;9.01;2.81;-1.74
0.15998601913452148;14.1;-22.4;142.6;9.56;2.83;-1.64
0.17980408668518066;13.8;-19.4;163.6;9.54;2.91;-1.32
0.1999828815460205;13.8;-17.5;176.9;9.4;3.02;-1.04
0.22004270553588867;13.8;-16.9;190.7;9.54;3.1;-0.96
0.23997735977172852;13.9;-17.5;200.4;9.86;3.19;-1.09
0.2598459720611572;15.5;-17.5;193.9;9.71;3.15;-1.34
0.27994346618652344;16.0;-19.7;173.6;9.53;2.79;-1.62
0.29984545707702637;16.4;-21.7;136.8;8.6;2.55;-1.68
0.31998515129089355;14.5;-22.1;127.7;8.44;2.46;-1.58
0.33986473083496094;16.8;-21.8;135.9;8.71;2.6;-1.5
0.35997772216796875;15.7;-19.8;151.9;9.0;2.65;-1.24
0.3798694610595703;13.0;-18.5;171.7;9.08;2.69;-0.98
0.39995431900024414;14.2;-17.5;187.8;9.37;2.84;-0.97
0.41980433464050293;14.0;-17.5;202.0;10.04;2.9;-1.17
0.4398624897003174;14.4;-17.0;196.2;9.89;3.04;-1.37
0.4598541259765625;15.7;-18.7;177.9;9.41;2.9;-1.59
0.4799532890319824;17.4;-21.2;143.4;8.17;2.93;-1.62
0.49985766410827637;18.9;-22.9;128.6;8.14;2.71;-1.56
0.519773006439209;16.8;-21.9;128.4;8.25;2.62;-1.38
0.5402042865753174;14.9;-19.9;144.4;8.8;2.66;-1.19
0.5598633289337158;13.9;-18.3;166.2;9.47;2.65;-1.06
0.5799903869628906;14.6;-18.1;186.4;9.78;2.87;-1.11
0.5997891426086426;14.2;-18.5;202.9;9.92;3.15;-1.21
0.6198890209197998;13.5;-17.7;202.0;9.82;3.32;-1.42
0.6399445533752441;16.0;-18.3;189.4;9.62;3.12;-1.61
0.6598520278930664;17.3;-19.9;154.5;8.63;3.01;-1.62
0.6798532009124756;17.1;-20.9;126.4;7.77;2.76;-1.44
0.6998600959777832;16.3;-21.7;124.7;7.96;2.73;-1.38
0.7199697494506836;16.7;-20.6;137.4;8.7;2.72;-1.29
0.7398593425750732;14.3;-20.0;159.3;9.49;2.67;-1.17
0.7597806453704834;13.6;-19.4;181.1;9.67;2.85;-1.12
0.779979944229126;13.5;-17.9;197.0;9.72;3.0;-1.18
0.7998442649841309;13.2;-17.5;202.2;9.82;3.19;-1.37
0.8198649883270264;15.7;-18.2;194.8;9.63;3.16;-1.55
0.8398370742797852;18.3;-19.1;168.5;8.86;3.14;-1.61
0.8599951267242432;17.4;-20.7;134.2;8.06;2.89;-1.47
0.8798949718475342;16.3;-23.1;126.3;8.31;2.69;-1.44
0.899885892868042;16.9;-22.3;135.1;8.84;2.74;-1.29
0.9200224876403809;16.1;-20.7;158.8;9.65;2.75;-1.23
0.939896821975708;15.3;-19.1;178.7;9.73;2.92;-1.13
0.9602024555206299;14.3;-18.3;196.4;9.73;3.12;-1.18
0.9800260066986084;13.6;-16.6;204.4;9.68;3.3;-1.32
1.0002672672271729;16.1;-17.5;195.1;9.4;3.22;-1.53
1.0201451778411865;16.7;-19.1;168.1;8.7;3.11;-1.6
1.0399470329284668;17.2;-20.4;137.0;8.06;2.91;-1.51
1.060044527053833;17.3;-23.7;128.0;8.42;2.69;-1.52
1.0801219940185547;15.2;-22.4;132.8;8.94;2.63;-1.34
1.0999042987823486;14.9;-21.1;156.7;9.72;2.66;-1.24
1.1199524402618408;14.6;-19.0;179.4;9.74;2.87;-1.1
1.1399147510528564;14.1;-18.2;195.8;9.72;3.01;-1.13
1.1602275371551514;13.6;-16.6;203.3;9.62;3.19;-1.25
1.1799452304840088;14.7;-16.8;195.4;9.31;3.13;-1.43
1.2002005577087402;17.8;-18.6;172.8;8.68;3.16;-1.63
1.2198915481567383;17.6;-20.3;140.2;8.19;2.95;-1.58
1.2398931980133057;18.6;-23.6;127.0;8.44;2.66;-1.55
1.2599272727966309;16.2;-22.9;129.0;8.86;2.57;-1.38
1.2799694538116455;13.9;-22.1;147.9;9.6;2.53;-1.18
1.2999083995819092;14.1;-19.5;174.5;9.8;2.75;-1.07
1.3199794292449951;14.5;-18.0;195.5;9.7;3.03;-1.1
1.3399605751037598;14.1;-18.5;210.0;9.94;3.2;-1.22
1.359952688217163;14.1;-17.7;198.0;9.55;3.17;-1.46
1.3799324035644531;17.0;-17.8;178.0;8.86;3.21;-1.63
1.3999724388122559;18.0;-19.8;144.5;8.29;3.06;-1.65
1.4199573993682861;17.1;-21.4;122.5;8.12;2.79;-1.58
1.439901351928711;17.9;-23.1;127.3;8.67;2.7;-1.45
1.4600634574890137;15.6;-22.8;143.8;9.41;2.61;-1.25
1.4799504280090332;13.5;-20.3;168.8;9.75;2.73;-1.07
1.4999299049377441;14.1;-18.6;191.6;9.67;3.0;-1.05
1.5202052593231201;14.2;-18.4;208.2;9.76;3.2;-1.16
1.5400168895721436;14.3;-17.6;200.1;9.45;3.2;-1.39
1.5598876476287842;16.3;-18.0;180.5;8.91;3.24;-1.61
1.5800976753234863;18.0;-20.1;148.7;8.28;3.16;-1.67
1.599822759628296;17.3;-21.5;124.4;8.28;2.81;-1.63
1.6200294494628906;17.9;-23.7;130.1;8.9;2.74;-1.5
1.6399095058441162;14.9;-23.0;147.5;9.71;2.64;-1.28
1.6599698066711426;13.7;-20.9;170.4;10.04;2.73;-1.13
1.6797804832458496;13.7;-18.8;192.9;9.87;2.98;-1.05
1.6999938488006592;14.3;-18.6;208.4;9.77;3.19;-1.12
1.7198500633239746;14.2;-17.8;200.8;9.35;3.21;-1.32
1.7400355339050293;17.1;-17.4;177.2;8.61;3.32;-1.62
1.7600748538970947;18.0;-19.8;145.6;8.0;3.24;-1.7
1.779994249343872;17.1;-21.7;122.2;8.14;2.81;-1.68
1.7999885082244873;18.0;-23.9;127.4;8.82;2.8;-1.57
1.819859266281128;14.9;-22.3;145.4;9.79;2.64;-1.4
1.8397881984710693;13.1;-25.8;206.3;12.47;2.46;-1.38
1.8598568439483643;10.9;-28.5;280.5;15.49;2.11;-1.18
1.8800044059753418;13.4;-26.8;319.5;16.25;1.96;-0.8
1.8998873233795166;12.0;-23.6;332.6;16.15;2.11;-0.71
1.919978380203247;12.6;-27.8;322.2;16.6;2.54;-1.17
1.9398512840270996;13.4;-30.4;317.7;17.27;2.65;-1.27
1.9600181579589844;13.1;-34.1;306.8;17.72;2.49;-1.51
1.9798710346221924;11.8;-39.4;305.8;18.16;2.47;-1.84
1.9998643398284912;10.8;-40.9;306.2;18.3;2.42;-1.97
2.019881248474121;12.3;-42.7;332.8;18.68;2.43;-2.23
2.039872407913208;12.3;-42.6;352.8;18.59;2.44;-2.17
2.0598819255828857;12.3;-40.7;354.5;18.15;2.52;-1.83
2.079932689666748;19.5;-14.1;170.3;9.74;4.15;-1.3
2.1000020503997803;18.6;-16.5;-57.4;-0.13;0.19;-0.7
2.119887590408325;10.6;-16.7;-55.5;-0.14;0.12;-0.49
2.1400036811828613;7.6;-25.1;-52.6;-0.11;0.02;-0.64
2.1598596572875977;7.7;-23.4;-54.3;-0.16;0.05;-0.68
2.179807662963867;6.2;-16.2;-55.6;-0.23;0.07;-0.59
2.1998953819274902;5.7;-14.1;-52.7;-0.22;0.02;-0.59
2.2198963165283203;8.7;-14.1;-52.0;-0.24;0.01;-0.59
2.2399399280548096;13.4;-10.7;-52.6;-0.23;-0.02;-0.59
2.2598068714141846;12.1;-12.1;-52.6;-0.25;0.06;-0.58
2.2798614501953125;13.9;-15.3;-52.5;-0.21;0.03;-0.68
2.299948215484619;13.0;-17.7;-53.8;-0.19;0.06;-0.65
2.3198957443237305;11.2;-20.3;-53.8;-0.15;0.06;-0.64
2.339913845062256;9.9;-21.6;-52.7;-0.12;0.02;-0.63
2.359898805618286;8.2;-20.9;-54.2;-0.12;0.07;-0.62
2.3800017833709717;8.1;-17.8;-52.8;-0.09;0.01;-0.53
2.3999319076538086;9.9;-17.5;-53.2;-0.11;-0.0;-0.61
2.420031785964966;14.0;-15.9;-50.8;-0.14;-0.15;-0.62
2.4398694038391113;14.1;-14.6;-51.4;-0.16;-0.09;-0.65
2.459904670715332;14.7;-16.3;-50.9;-0.15;-0.11;-0.72
2.479870319366455;11.4;-15.8;-52.5;-0.18;0.1;-0.62
2.5000851154327393;13.2;-16.3;-51.1;-0.12;-0.0;-0.7
2.519869804382324;13.6;-15.6;-52.9;-0.18;0.07;-0.67
2.5400941371917725;14.2;-15.4;-51.6;-0.15;-0.05;-0.68
2.5598695278167725;10.6;-17.2;-51.9;-0.1;0.05;-0.74
2.580122709274292;15.6;-19.2;-54.8;0.0;0.2;-0.75
2.599890947341919;19.3;-21.8;-60.0;0.07;0.5;-0.82
2.619929313659668;18.8;-23.8;-60.7;0.07;0.51;-0.78
2.639845609664917;13.6;-23.6;-59.7;0.07;0.54;-0.62
2.659886598587036;16.3;-22.2;-59.2;0.0;0.45;-0.7
2.680021286010742;15.5;-21.9;-59.0;-0.09;0.46;-0.69
2.699944019317627;14.6;-17.3;-57.4;-0.16;0.31;-0.64
2.720059633255005;16.6;-16.0;-59.2;-0.2;0.33;-0.63
2.740039348602295;17.8;-16.3;-58.7;-0.21;0.27;-0.68
2.759960412979126;17.5;-18.3;-59.0;-0.16;0.29;-0.54
2.779888153076172;16.5;-17.3;-58.4;-0.16;0.23;-0.59
2.800196409225464;14.9;-17.9;-59.6;-0.26;0.32;-0.7
2.81988263130188;20.3;-17.9;-54.1;-0.2;-0.23;-0.64
2.8398289680480957;13.8;-23.4;-57.3;-0.23;0.17;-0.76
2.859858751296997;-59.3;-7.1;115.0;8.37;-13.75;3.56
2.88004732131958;-87.5;-68.4;394.0;20.75;-35.09;-1.07
2.900022268295288;-54.1;-69.9;354.8;22.14;-30.21;-2.26
2.9199776649475098;-75.7;-75.0;410.3;25.69;-31.06;-2.03
2.939842939376831;-54.0;-60.7;411.4;26.9;-28.08;-2.07
2.9599907398223877;-54.0;-78.9;309.5;21.13;-23.98;-1.95
2.9798583984375;-64.2;-73.8;429.9;28.35;-28.48;-1.28
2.9997994899749756;-54.9;-70.3;381.1;25.8;-25.75;-0.86
3.019908905029297;-72.3;-66.6;373.8;24.91;-26.51;0.63
3.0398645401000977;-87.9;-58.3;502.7;31.87;-32.65;1.97
3.0599710941314697;-81.9;-72.8;482.9;30.48;-31.82;0.62
3.0799880027770996;-96.6;-64.0;514.7;29.09;-36.5;2.55
3.0998361110687256;-74.6;-71.3;640.9;27.54;-41.47;3.4
3.1198534965515137;-49.3;-67.7;752.5;29.1;-37.21;4.45
3.1397807598114014;-12.1;-55.6;673.5;24.65;-16.17;6.07
3.1600401401519775;13.2;-40.8;605.7;16.71;2.18;7.37
3.1798856258392334;19.8;-20.0;650.8;9.24;16.54;6.71
3.1999831199645996;34.0;-5.9;672.7;2.47;27.99;7.47
3.2199349403381348;39.4;3.3;674.0;-1.47;33.54;9.91
3.24001145362854;40.6;2.3;682.5;-2.75;33.75;11.74
3.2598459720611572;47.4;-8.1;681.4;-0.83;29.27;13.92
3.279848098754883;43.4;-31.6;665.5;4.39;20.37;13.82
3.3001842498779297;14.9;-52.6;664.4;9.93;8.93;12.43
3.3198297023773193;-25.6;-72.7;739.6;15.04;-1.81;7.24
3.33990478515625;-66.5;-89.7;766.4;16.92;-9.78;-0.64
3.360031843185425;-86.4;-94.9;664.3;12.42;-13.11;-7.43
3.379880905151367;-73.7;-73.7;703.6;4.31;-12.96;-9.31
3.399932622909546;-52.0;-48.0;711.3;-5.48;-5.75;-12.19
3.4199557304382324;-14.3;-21.2;677.9;-15.44;6.45;-11.57
3.439875841140747;21.0;4.0;736.5;-23.94;17.72;-6.99
3.460195302963257;43.1;16.5;715.8;-27.8;28.58;0.16
3.4799251556396484;37.1;4.5;694.3;-25.4;32.12;1.88
3.499972105026245;12.7;-14.9;631.8;-21.63;32.35;2.84
3.5198822021484375;-6.7;-36.6;586.6;-17.92;32.15;2.94
3.5398967266082764;-19.8;-55.9;615.9;-14.87;34.12;2.08
3.5598440170288086;-29.7;-65.4;624.2;-11.22;32.23;2.18
3.579921007156372;-8.6;-62.5;609.3;-8.99;27.85;3.58
3.600015640258789;13.4;-49.8;706.9;-7.25;21.73;2.84
3.619901180267334;41.2;-43.1;735.9;-6.46;15.93;0.73
3.639935255050659;59.4;-39.1;734.8;-6.65;11.11;-1.24
3.6600944995880127;57.4;-44.7;769.8;-8.02;7.97;-3.49
3.6797866821289062;43.4;-63.6;700.3;-10.46;9.64;-6.18
3.7000012397766113;22.8;-69.3;611.8;-14.28;12.81;-7.31
3.7198715209960938;11.9;-70.1;638.6;-18.61;16.1;-5.95
3.7400472164154053;17.2;-55.8;643.9;-21.35;15.82;-5.29
3.759894371032715;19.3;-46.6;641.4;-15.45;13.68;-4.09
3.779884099960327;44.6;-27.5;708.8;-1.16;8.06;-1.81
3.8000266551971436;75.6;-25.6;702.3;12.83;2.38;-0.88
3.819995403289795;119.9;-35.2;783.9;21.84;0.8;0.64
3.839810848236084;97.7;-37.6;451.1;14.21;4.71;3.48
3.859903335571289;93.0;-36.4;351.3;12.24;0.13;4.34
3.8800246715545654;46.1;-11.7;53.1;6.27;-5.19;-1.66
3.899883508682251;19.6;-27.8;-35.6;0.58;-1.24;-1.62
3.9198098182678223;42.6;-86.6;96.4;7.88;-9.16;-6.97
3.9398910999298096;28.5;-26.2;211.7;13.99;-14.8;-4.4
3.959885835647583;36.9;-69.9;216.6;14.42;-15.94;-7.02
3.980009078979492;47.9;-39.4;296.0;17.21;-20.85;-6.28
3.999910593032837;49.2;-32.9;201.7;13.45;-17.71;-6.08
4.020224332809448;14.1;-15.9;-30.7;0.91;-2.15;-1.72
4.039881229400635;7.3;-14.4;-55.5;-0.37;-0.1;-0.8
4.060023069381714;5.6;-15.7;-56.1;-0.33;-0.02;-0.74
4.07982611656189;7.4;-16.4;-53.6;-0.32;-0.17;-0.83
4.100124835968018;3.5;-15.8;-53.6;-0.39;-0.16;-0.91
4.119920969009399;3.7;-11.6;-51.7;-0.36;-0.21;-0.88
4.140009164810181;6.1;-14.0;-53.4;-0.38;-0.17;-0.99
4.160006046295166;8.2;-9.6;-56.5;-0.44;-0.11;-0.86
4.179921627044678;3.5;-12.5;-54.0;-0.41;-0.1;-0.91
4.199858903884888;2.0;-12.1;-51.3;-0.38;-0.19;-0.84
4.2200236320495605;8.6;-13.8;-54.7;-0.36;-0.18;-0.92
4.240012884140015;11.6;-16.0;-56.0;-0.37;-0.1;-0.97
4.259859561920166;18.6;-18.3;-55.6;-0.36;-0.14;-1.02
4.279984474182129;18.8;-19.3;-54.2;-0.3;-0.11;-1.02
4.299877643585205;16.9;-16.4;-54.9;-0.32;-0.11;-0.96
4.319995641708374;15.1;-13.1;-54.0;-0.3;-0.19;-0.89
4.339847564697266;9.7;-11.3;-53.2;-0.34;-0.14;-0.74
4.359888076782227;3.6;-11.6;-53.8;-0.33;-0.07;-0.72
4.379894256591797;6.1;-13.5;-52.4;-0.28;-0.21;-0.8
4.399994134902954;7.5;-15.1;-53.5;-0.3;-0.14;-0.87
4.419900894165039;10.5;-15.9;-52.8;-0.28;-0.16;-0.88
4.439850568771362;12.4;-15.7;-54.2;-0.3;-0.08;-0.89
4.460036277770996;17.0;-16.5;-53.4;-0.29;-0.17;-0.98
4.4798500537872314;12.9;-16.3;-51.9;-0.3;-0.05;-1.02
4.500033378601074;18.5;-15.8;-52.7;-0.28;-0.07;-0.92
4.519885301589966;19.7;-16.7;-52.6;-0.22;-0.11;-1.0
4.539883852005005;16.2;-18.2;-55.4;-0.22;0.09;-1.0
4.560002326965332;16.1;-19.1;-57.4;-0.17;0.18;-1.01
4.5800793170928955;14.6;-17.8;-61.2;-0.11;0.45;-0.96
4.600023984909058;14.9;-17.3;-59.8;-0.18;0.31;-0.95
4.619880199432373;15.5;-17.0;-58.3;-0.22;0.24;-0.94
4.639986038208008;16.2;-14.6;-59.0;-0.36;0.21;-1.03
4.659831762313843;18.8;-15.0;-57.8;-0.38;0.11;-1.06
4.679868698120117;16.5;-11.6;-59.5;-0.39;0.26;-0.81
4.699878215789795;16.0;-15.2;-59.9;-0.42;0.31;-0.99
4.719863414764404;19.1;-17.7;-58.8;-0.41;0.09;-1.02
4.739912509918213;18.4;-17.7;-61.0;-0.45;0.19;-0.95
4.7599406242370605;15.9;-15.4;-60.1;-0.38;0.17;-0.81
4.780011177062988;12.2;-15.3;-60.5;-0.45;0.18;-0.88
4.799820899963379;13.8;-16.9;-56.8;-0.47;-0.12;-0.98
4.82019305229187;17.0;-18.6;-56.6;-0.44;-0.14;-1.01
4.8398332595825195;-98.9;-32.7;385.4;18.87;-23.51;2.66
4.859912395477295;-73.6;-65.7;350.6;20.72;-23.89;-0.44
4.879996299743652;-53.0;-81.8;392.0;24.12;-22.38;-3.79
4.899845838546753;-78.7;-67.2;664.4;33.29;-29.69;-3.59
4.919832706451416;-52.5;-57.3;404.2;23.86;-22.93;-1.79
4.939838409423828;-64.2;-88.2;418.6;24.21;-25.76;-2.4
4.960012435913086;-92.3;-86.1;570.0;21.1;-37.6;-0.38
4.979860544204712;-47.3;-107.5;530.4;10.36;-39.02;0.96
4.999872922897339;-53.6;-110.0;659.2;1.22;-44.81;4.05
5.019893407821655;-62.4;-87.2;841.6;-3.16;-47.47;5.94
5.040004730224609;-1.8;-57.0;653.6;-11.34;-23.3;6.06
5.059853553771973;9.2;-23.0;632.9;-19.69;-11.51;7.86
5.079879283905029;-1.3;-14.2;754.4;-23.07;-2.65;6.62
5.099885702133179;15.2;-17.0;692.7;-22.67;10.24;4.36
5.119896411895752;19.3;-7.3;633.8;-21.7;15.75;4.83
5.13990330696106;22.2;-8.3;693.0;-18.95;15.32;5.24
5.160165786743164;26.6;-20.0;708.6;-13.59;10.07;6.4
5.179847955703735;39.5;-40.4;668.3;-7.0;4.83;7.03
5.199890851974487;8.8;-57.7;649.9;-1.52;-5.92;7.44
5.219897747039795;-33.5;-76.1;748.1;4.39;-18.05;5.4
5.239862442016602;-60.9;-90.9;767.6;7.86;-22.39;0.18
5.260053396224976;-85.2;-91.9;730.0;7.35;-20.9;-4.53
5.279882907867432;-78.1;-75.4;722.5;4.05;-12.59;-5.98
5.299994468688965;-54.6;-53.2;713.8;-2.01;2.54;-7.64
5.319873571395874;-19.6;-31.0;676.9;-9.43;18.1;-6.99
5.339905261993408;20.2;-11.1;667.3;-13.98;28.02;-5.05
5.360053539276123;44.7;-0.5;636.5;-15.17;30.48;-2.41
5.379830360412598;54.7;1.6;606.2;-14.71;30.07;0.11
5.399892330169678;49.8;-0.0;617.2;-13.1;29.25;1.69
5.4200050830841064;34.7;-9.5;683.1;-8.97;27.3;2.17
5.440049171447754;18.2;-29.3;697.1;-3.41;21.64;3.35
5.460008859634399;-0.5;-53.3;665.8;2.42;13.68;3.12
5.479879140853882;-15.2;-75.6;671.4;6.87;6.04;-0.62
5.499862909317017;-10.9;-69.5;714.9;6.48;3.16;-0.2
5.520147800445557;3.8;-61.6;704.7;5.55;5.0;-1.87
5.540041208267212;24.5;-64.2;689.3;3.07;9.9;-5.48
5.559891700744629;49.4;-58.5;703.9;-1.37;13.49;-7.06
5.580044269561768;61.3;-49.8;648.8;-7.5;15.64;-7.33
5.599850416183472;70.2;-39.5;622.5;-12.4;12.91;-6.42
5.619836091995239;70.7;-29.2;678.3;-13.84;4.92;-3.88
5.639972686767578;68.4;-24.8;729.0;-14.21;-4.51;-1.72
5.660303592681885;64.2;-29.3;702.3;-12.22;-11.88;0.39
5.679958820343018;52.5;-36.9;678.3;-7.57;-18.3;0.48
5.699874401092529;62.1;-50.9;734.1;8.89;-21.4;-1.79
5.72013783454895;67.1;-60.5;733.8;29.14;-20.31;-2.31
5.7398858070373535;96.7;-81.6;721.3;39.0;-15.75;-5.17
5.760053396224976;49.5;-71.4;404.4;25.7;-17.05;-2.92
5.779901027679443;19.8;-76.5;247.2;16.38;-15.65;-3.49
5.79987645149231;34.1;-57.2;220.1;14.25;-15.35;-3.39
5.81990122795105;90.6;-65.9;259.1;16.83;-11.9;-5.86
5.839912414550781;37.2;-46.9;212.7;13.56;-15.15;-2.56
5.860022783279419;42.5;-45.1;166.7;10.95;-14.27;-3.73
5.880014657974243;76.6;-66.1;217.5;13.65;-12.53;-6.21
5.899814128875732;57.5;-61.6;250.0;14.41;-14.33;-6.45
5.920103311538696;50.5;-54.9;206.2;12.81;-14.13;-6.15
