time;force_x;force_y;force_z;torque_x;torque_y;torque_z
0.0;-11.9;6.4;500.3;10.31;-13.98;0.86
0.019975662231445312;-12.1;12.0;483.8;8.6;-13.61;1.59
0.0398709774017334;-11.6;16.3;469.0;7.62;-13.15;2.05
0.05993342399597168;-10.6;18.5;466.2;6.68;-13.06;2.16
0.07990813255310059;-10.5;15.4;488.5;5.77;-14.37;1.84
0.09978604316711426;-8.7;12.6;521.0;5.14;-15.16;1.36
0.11985588073730469;-10.6;5.7;537.8;7.0;-15.55;0.66
0.13986420631408691;-10.6;2.1;541.5;9.4;-15.29;0.24
0.15998601913452148;-11.4;2.7;523.1;10.11;-14.74;0.41
0.17980408668518066;-11.7;8.5;511.1;8.96;-14.58;1.14
0.1999828815460205;-10.9;14.2;497.2;7.83;-14.18;1.8
0.22004270553588867;-10.1;16.5;482.1;7.44;-13.65;2.07
0.23997735977172852;-11.0;16.2;471.5;7.68;-13.45;1.91
0.2598459720611572;-11.2;14.4;478.6;7.46;-14.15;1.51
0.27994346618652344;-11.9;9.3;500.7;6.97;-15.43;1.01
0.29984545707702637;-9.1;4.6;530.6;6.6;-16.51;0.68
0.31998515129089355;-7.5;3.5;543.2;7.54;-16.49;0.57
0.33986473083496094;-9.9;6.0;534.7;8.42;-16.19;0.87
0.35997772216796875;-10.9;9.9;519.2;8.15;-15.62;1.4
0.3798694610595703;-9.0;11.3;501.8;7.43;-14.82;1.78
0.39995431900024414;-10.5;13.0;483.4;7.52;-14.32;1.87
0.41980433464050293;-12.4;13.2;472.7;7.8;-14.09;1.68
0.4398624897003174;-12.4;12.4;475.7;7.48;-14.41;1.37
0.4598541259765625;-11.2;8.8;496.5;6.47;-15.29;1.06
0.4799532890319824;-7.5;5.1;525.5;6.06;-16.07;0.85
0.49985766410827637;-7.8;3.0;547.3;6.81;-16.55;0.8
0.519773006439209;-9.2;3.6;539.4;7.41;-16.17;0.98
0.5402042865753174;-9.1;6.1;525.9;8.35;-15.42;1.31
0.5598633289337158;-10.8;10.3;506.1;8.35;-14.81;1.65
0.5799903869628906;-11.8;12.1;485.6;8.16;-14.16;1.71
0.5997891426086426;-11.4;12.4;470.9;8.03;-13.64;1.57
0.6198890209197998;-11.5;12.4;468.1;7.72;-13.69;1.3
0.6399445533752441;-11.6;10.5;484.5;7.01;-14.53;1.06
0.6598520278930664;-10.0;6.8;510.1;6.04;-15.64;0.97
0.6798532009124756;-6.8;4.9;541.2;5.84;-16.56;1.05
0.6998600959777832;-6.9;5.4;544.3;6.97;-16.17;1.13
0.7199697494506836;-9.8;7.9;529.2;8.16;-15.53;1.37
0.7398593425750732;-10.1;8.8;511.3;8.63;-14.79;1.51
0.7597806453704834;-10.6;9.7;493.0;8.31;-14.23;1.59
0.779979944229126;-12.0;11.7;476.8;8.03;-13.82;1.56
0.7998442649841309;-12.5;13.0;468.0;7.6;-13.79;1.37
0.8198649883270264;-12.0;11.2;479.0;7.04;-14.37;1.14
0.8398370742797852;-10.4;8.3;501.8;6.29;-15.2;1.02
0.8599951267242432;-7.0;4.4;535.0;5.98;-16.19;1.03
0.8798949718475342;-7.8;2.2;539.1;7.33;-16.03;0.9
0.899885892868042;-7.4;4.4;531.7;8.63;-15.39;1.16
0.9200224876403809;-10.8;7.3;514.0;8.98;-14.9;1.41
0.939896821975708;-10.9;10.1;491.8;8.44;-14.24;1.63
0.9602024555206299;-11.5;11.4;477.2;8.07;-13.84;1.56
0.9800260066986084;-11.5;13.3;467.3;7.49;-13.63;1.46
1.0002672672271729;-12.1;12.4;480.1;6.61;-14.43;1.23
1.0201451778411865;-9.7;7.8;502.4;6.02;-15.33;1.0
1.0399470329284668;-7.0;5.3;531.9;5.83;-16.27;1.03
1.060044527053833;-7.9;2.2;539.2;7.43;-16.02;0.81
1.0801219940185547;-8.3;3.1;532.9;9.01;-15.4;0.98
1.0999042987823486;-10.1;6.1;513.7;9.3;-14.71;1.29
1.1199524402618408;-10.4;9.8;495.4;8.56;-14.17;1.63
1.1399147510528564;-11.6;11.9;478.0;7.98;-13.74;1.64
1.1602275371551514;-11.6;15.1;469.4;7.14;-13.74;1.58
1.1799452304840088;-12.3;13.6;477.5;6.39;-14.4;1.34
1.2002005577087402;-10.1;8.4;502.7;5.92;-15.27;0.99
1.2198915481567383;-7.3;4.9;532.3;5.96;-16.15;0.94
1.2398931980133057;-8.0;1.3;545.4;7.39;-16.31;0.8
1.2599272727966309;-9.6;0.8;537.0;8.88;-15.71;0.86
1.2799694538116455;-9.4;3.4;519.2;9.59;-14.93;1.22
1.2999083995819092;-10.1;8.9;498.3;8.7;-14.31;1.62
1.3199794292449951;-11.6;12.7;478.1;7.97;-13.69;1.76
1.3399605751037598;-11.8;12.9;464.5;7.66;-13.37;1.63
1.359952688217163;-11.0;12.3;469.5;6.92;-13.82;1.3
1.3799324035644531;-11.4;9.8;493.9;6.09;-15.02;1.02
1.3999724388122559;-8.6;6.0;523.3;5.94;-15.9;0.9
1.4199573993682861;-8.6;3.8;546.7;6.77;-16.47;0.81
1.439901351928711;-8.0;3.1;543.1;8.27;-15.78;0.94
1.4600634574890137;-8.5;5.1;527.5;9.33;-14.89;1.28
1.4799504280090332;-9.7;8.2;504.4;8.79;-14.32;1.61
1.4999299049377441;-11.2;11.7;479.1;7.99;-13.73;1.77
1.5202052593231201;-12.5;12.7;466.6;7.59;-13.51;1.69
1.5400168895721436;-12.4;12.1;471.3;6.8;-13.95;1.34
1.5598876476287842;-11.1;9.2;492.3;6.01;-14.87;1.01
1.5800976753234863;-9.1;5.9;520.6;5.91;-15.84;0.85
1.599822759628296;-8.3;3.8;544.5;6.84;-16.41;0.76
1.6200294494628906;-8.5;2.4;538.6;8.61;-15.64;0.82
1.6399095058441162;-9.6;4.3;521.7;9.68;-14.84;1.18
1.6599698066711426;-9.8;8.0;499.8;9.15;-14.04;1.6
1.6797804832458496;-10.4;11.8;479.3;8.17;-13.55;1.83
1.6999938488006592;-12.1;12.6;465.0;7.63;-13.43;1.78
1.7198500633239746;-12.1;12.2;471.3;6.6;-13.98;1.48
1.7400355339050293;-10.7;10.3;492.0;5.57;-14.89;1.13
1.7600748538970947;-8.6;6.9;522.3;5.55;-15.87;0.88
1.779994249343872;-7.5;3.7;545.0;6.71;-16.35;0.7
1.7999885082244873;-8.0;1.4;541.2;8.69;-15.76;0.7
1.819859266281128;-9.7;5.9;521.2;10.26;-14.68;1.02
1.8397881984710693;-13.1;5.7;455.4;12.65;-12.26;1.3
1.8598568439483643;-13.2;4.5;395.2;14.57;-10.07;1.4
1.8800044059753418;-14.7;6.2;351.1;13.82;-9.09;1.79
1.8998873233795166;-12.7;7.4;346.2;13.21;-8.87;1.81
1.919978380203247;-13.5;3.1;344.3;13.91;-8.61;1.28
1.9398512840270996;-11.2;-0.9;353.8;14.76;-8.46;1.1
1.9600181579589844;-12.9;-4.1;364.0;15.57;-8.92;0.79
1.9798710346221924;-13.5;-14.5;361.8;16.2;-9.28;0.13
1.9998643398284912;-11.5;-16.4;352.5;16.15;-9.21;-0.2
2.019881248474121;-14.9;-16.7;337.9;15.46;-9.46;-0.35
2.039872407913208;-15.8;-13.0;315.5;14.33;-9.24;-0.23
2.0598819255828857;-13.4;1.3;333.0;16.34;-9.41;0.06
2.079932689666748;-3.2;25.9;434.2;20.09;-10.52;0.09
2.1000020503997803;-2.7;34.7;747.1;27.46;-15.66;-0.61
2.119887590408325;3.0;27.1;888.4;31.6;-16.55;-2.03
2.1400036811828613;27.1;19.0;612.4;27.36;-6.48;-2.18
2.1598596572875977;50.5;11.3;681.1;27.43;-3.03;-3.22
2.179807662963867;48.9;0.4;832.4;26.81;-3.62;-5.13
2.1998953819274902;38.3;-10.4;701.1;22.77;-3.12;-6.84
2.2198963165283203;29.4;-21.3;655.8;19.63;-3.89;-7.66
2.2399399280548096;17.9;-26.4;754.7;14.2;-8.61;-7.53
2.2598068714141846;4.3;-16.6;743.6;6.59;-11.15;-5.49
2.2798614501953125;-6.0;-1.3;661.9;-0.66;-11.86;-2.09
2.299948215484619;-6.5;8.2;765.2;-8.22;-13.75;1.03
2.3198957443237305;0.5;19.5;762.5;-15.19;-10.52;3.84
2.339913845062256;13.9;29.8;717.2;-20.53;-5.52;6.39
2.359898805618286;32.2;33.0;741.8;-24.3;-2.7;7.71
2.3800017833709717;37.1;27.8;748.3;-25.8;-1.12;7.2
2.3999319076538086;37.8;16.1;720.3;-25.03;0.19;4.91
2.420031785964966;39.7;1.5;715.7;-23.57;1.13;2.83
2.4398694038391113;34.0;-8.2;720.7;-23.14;0.07;1.8
2.459904670715332;31.3;-18.7;729.8;-22.39;-2.97;0.8
2.479870319366455;27.8;-20.5;720.3;-22.82;-6.74;0.93
2.5000851154327393;23.1;-18.2;709.1;-23.81;-9.41;1.59
2.519869804382324;26.1;-16.1;735.0;-25.79;-10.21;1.29
2.5400941371917725;28.4;-11.5;726.3;-27.85;-10.87;2.12
2.5598695278167725;39.0;-0.9;714.9;-28.73;-10.67;3.68
2.580122709274292;50.3;13.4;713.3;-29.76;-10.07;5.04
2.599890947341919;50.4;20.0;715.9;-28.85;-10.49;6.71
2.619929313659668;59.9;15.0;737.4;-26.94;-12.11;7.75
2.639845609664917;63.6;13.4;737.2;-24.26;-13.76;8.22
2.659886598587036;59.2;15.0;719.3;-21.34;-14.43;8.06
2.680021286010742;62.2;8.2;730.4;-17.74;-16.01;6.74
2.699944019317627;65.1;-1.8;730.8;-13.56;-18.79;4.64
2.720059633255005;63.9;-3.7;723.6;-10.32;-18.88;2.74
2.740039348602295;75.8;-4.7;741.7;-8.14;-17.21;0.49
2.759960412979126;84.9;-11.9;726.5;-12.32;-17.01;-0.26
2.779888153076172;111.8;-17.8;714.2;-28.18;-14.26;1.86
2.800196409225464;133.4;-14.5;730.4;-38.11;-14.14;2.62
2.81988263130188;157.5;0.6;712.0;-39.81;-15.53;3.76
2.8398289680480957;127.6;13.7;550.7;-31.03;-22.21;5.11
2.859858751296997;130.9;13.8;588.3;-28.01;-30.42;5.41
2.88004732131958;88.1;14.5;401.7;-18.03;-29.88;3.66
2.900022268295288;21.7;43.5;131.9;-7.44;-15.02;5.97
2.9199776649475098;56.5;44.6;226.5;-8.13;-20.46;7.14
2.939842939376831;87.2;51.1;412.7;-7.91;-25.26;7.19
2.9599907398223877;35.1;29.0;235.9;-0.43;-19.56;6.76
2.9798583984375;66.2;11.4;335.8;6.83;-20.0;3.77
2.9997994899749756;85.8;3.9;365.6;11.27;-17.09;1.29
3.019908905029297;58.8;-5.6;287.2;12.84;-15.26;0.75
3.0398645401000977;75.4;6.4;335.8;14.18;-16.38;0.74
3.0599710941314697;47.7;19.4;267.2;11.87;-15.35;1.18
3.0799880027770996;17.4;35.6;131.6;8.46;-12.83;3.36
3.0998361110687256;6.2;10.1;-1.4;3.4;-4.5;1.99
3.1198534965515137;-4.1;-17.1;-50.0;1.11;-0.14;0.28
3.1397807598114014;-10.0;-20.0;-48.4;1.12;-0.03;0.24
3.1600401401519775;-15.4;-28.4;-45.3;1.1;-0.06;0.02
3.1798856258392334;-18.0;-27.0;-44.6;1.15;0.01;0.07
3.1999831199645996;-13.7;-33.3;-45.4;1.11;-0.01;-0.1
3.2199349403381348;-10.5;-29.2;-45.1;1.13;-0.05;0.02
3.24001145362854;-13.4;-25.9;-45.5;1.1;0.04;0.03
3.2598459720611572;-14.8;-22.2;-47.9;1.08;0.14;0.03
3.279848098754883;-13.1;-17.9;-44.5;1.06;0.03;0.19
3.3001842498779297;-9.4;-17.6;-46.5;1.07;0.14;0.16
3.3198297023773193;-0.3;-19.2;-51.4;1.12;0.2;0.13
3.33990478515625;6.4;-19.7;-51.0;1.1;0.2;0.3
3.360031843185425;7.3;-22.8;-48.4;1.09;0.27;0.16
3.379880905151367;4.4;-24.5;-48.5;1.08;0.25;0.12
3.399932622909546;0.8;-26.4;-44.5;1.11;0.06;0.12
3.4199557304382324;-10.0;-26.7;-46.7;1.11;0.27;0.06
3.439875841140747;-13.6;-28.4;-45.6;1.14;0.2;-0.01
3.460195302963257;-12.2;-28.7;-41.3;1.08;-0.1;0.0
3.4799251556396484;-15.0;-26.6;-42.0;1.0;-0.11;0.09
3.499972105026245;-3.7;-21.3;-36.0;0.92;-0.55;0.28
3.5198822021484375;0.0;-15.3;-33.8;0.85;-0.57;0.4
3.5398967266082764;1.0;-10.6;-34.1;0.79;-0.52;0.58
3.5598440170288086;-6.4;-12.1;-36.9;0.76;-0.23;0.51
3.579921007156372;-3.6;-11.8;-34.4;0.77;-0.53;0.48
3.600015640258789;-14.1;-14.7;-40.0;0.78;-0.02;0.34
3.619901180267334;-14.7;-20.0;-41.1;0.86;-0.16;0.15
3.639935255050659;-2.3;-20.6;-32.6;0.83;-1.02;0.35
3.6600944995880127;-7.3;-19.5;-36.8;0.9;-0.61;0.32
3.6797866821289062;0.4;-15.5;-34.0;0.88;-0.74;0.45
3.7000012397766113;3.2;-12.5;-33.5;0.81;-0.69;0.59
3.7198715209960938;-4.7;-13.1;-36.6;0.92;-0.19;0.52
3.7400472164154053;3.9;-14.3;-34.8;0.94;-0.53;0.63
3.759894371032715;2.9;-21.1;-34.2;0.94;-0.56;0.31
3.779884099960327;-1.4;-19.7;-35.8;0.94;-0.48;0.37
3.8000266551971436;-3.9;-20.7;-36.9;0.94;-0.57;0.27
3.819995403289795;-3.8;-21.8;-32.7;0.93;-1.13;0.27
3.839810848236084;-15.5;-16.2;-31.7;0.8;-0.72;0.42
3.859903335571289;-71.8;-15.4;299.0;-13.21;-11.17;1.67
3.8800246715545654;-127.4;24.2;634.3;-23.43;-25.46;4.75
3.899883508682251;-68.4;37.9;547.3;-26.28;-14.61;9.19
3.9198098182678223;-71.6;49.9;701.0;-26.39;-16.49;12.81
3.9398910999298096;-53.8;37.3;560.8;-17.81;-16.56;10.71
3.959885835647583;-70.1;19.9;482.4;-11.95;-22.61;5.97
3.980009078979492;-73.0;43.6;538.9;-10.11;-28.15;5.17
3.999910593032837;-76.1;43.9;590.0;1.29;-35.49;0.74
4.020224332809448;-63.4;43.4;622.6;15.11;-41.62;-3.08
4.039881229400635;-65.8;28.0;767.0;26.59;-44.49;-7.53
4.060023069381714;-41.8;16.4;677.2;31.27;-26.28;-9.02
4.07982611656189;-50.3;-5.4;701.7;33.66;-19.79;-12.95
4.100124835968018;-21.9;-11.9;752.0;34.06;-9.72;-14.89
4.119920969009399;6.6;-11.0;692.0;29.4;3.51;-12.81
4.140009164810181;-0.3;-9.1;671.1;25.05;12.91;-11.32
4.160006046295166;12.2;2.7;779.3;22.14;17.79;-8.57
4.179921627044678;10.3;9.3;783.0;18.88;18.06;-6.05
4.199858903884888;-2.4;18.3;651.5;16.02;13.89;-6.14
4.2200236320495605;-16.7;23.3;670.4;13.92;9.91;-4.24
4.240012884140015;-49.7;31.9;812.4;10.56;4.96;0.18
4.259859561920166;-60.6;39.7;798.7;7.21;4.2;3.35
4.279984474182129;-81.1;42.0;694.5;6.27;4.78;4.89
4.299877643585205;-74.6;35.9;724.8;5.25;9.81;6.26
4.319995641708374;-40.9;23.3;766.2;5.01;19.65;6.52
4.339847564697266;-5.9;8.7;724.5;4.42;28.08;4.65
4.359888076782227;23.5;-7.8;711.4;4.31;33.75;1.6
4.379894256591797;38.5;-17.0;666.9;3.24;34.74;-1.47
4.399994134902954;48.8;-20.4;634.0;1.53;33.87;-3.09
4.419900894165039;42.8;-19.3;672.2;-0.85;34.2;-4.21
4.439850568771362;27.4;-10.0;732.2;-4.37;33.03;-4.62
4.460036277770996;16.2;-2.9;756.8;-8.26;26.84;-3.81
4.4798500537872314;-9.3;9.6;708.9;-11.76;17.87;-1.67
4.500033378601074;-11.9;23.6;690.6;-13.95;12.22;0.64
4.519885301589966;-2.4;30.7;734.7;-15.71;8.98;4.83
4.539883852005005;1.0;30.5;717.5;-14.1;7.39;8.16
4.560002326965332;24.2;28.2;708.0;-11.62;9.89;10.55
4.5800793170928955;50.4;21.4;705.0;-9.38;12.88;10.72
4.600023984909058;58.0;12.8;695.1;-7.73;13.02;8.71
4.619880199432373;62.0;-0.7;707.7;-6.8;9.24;6.1
4.639986038208008;67.1;-4.6;706.5;-6.76;4.12;4.95
4.659831762313843;61.2;-11.3;708.3;-6.42;-2.03;1.37
4.679868698120117;60.3;-5.9;713.9;-7.73;-8.68;-0.23
4.699878215789795;64.4;8.1;725.4;-10.1;-15.63;1.2
4.719863414764404;68.7;-0.8;736.6;-15.46;-20.84;-0.54
4.739912509918213;94.3;0.8;738.3;-28.82;-18.8;1.11
4.7599406242370605;126.4;-0.7;739.0;-38.74;-14.11;1.88
4.780011177062988;127.6;11.0;658.7;-39.81;-10.96;2.54
4.799820899963379;91.1;1.5;495.9;-29.07;-17.9;2.43
4.82019305229187;133.3;6.9;624.2;-28.16;-29.71;3.33
4.8398332595825195;147.4;18.7;629.0;-22.23;-40.0;2.1
4.859912395477295;25.7;19.5;146.9;-6.23;-17.36;3.27
4.879996299743652;44.4;36.9;106.2;-4.45;-14.13;5.88
4.899845838546753;94.1;8.4;318.9;-7.78;-30.33;6.19
4.919832706451416;76.2;26.3;253.0;-7.9;-25.75;7.42
4.939838409423828;66.0;7.7;250.9;-6.14;-26.35;5.49
4.960012435913086;87.7;12.6;312.4;-6.88;-31.24;6.37
4.979860544204712;37.5;14.4;82.4;-2.93;-12.87;5.08
4.999872922897339;-9.3;-15.6;-44.9;0.87;-0.25;0.2
5.019893407821655;-19.7;-20.1;-44.0;0.89;-0.03;-0.02
5.040004730224609;-16.1;-20.4;-44.3;0.92;-0.01;0.0
5.059853553771973;-15.3;-24.1;-43.6;0.92;-0.1;-0.02
5.079879283905029;-19.0;-22.7;-43.6;1.0;-0.05;0.0
5.099885702133179;-15.6;-30.8;-45.9;0.99;0.04;-0.17
5.119896411895752;-8.4;-24.8;-44.3;0.93;-0.07;0.09
5.13990330696106;-11.8;-24.7;-45.2;1.02;-0.04;0.01
5.160165786743164;-15.0;-26.8;-45.1;0.97;0.01;-0.15
5.179847955703735;-13.3;-22.1;-43.9;0.93;-0.0;0.02
5.199890851974487;-11.8;-15.7;-44.6;0.91;0.08;0.21
5.219897747039795;-7.8;-18.8;-47.8;0.92;0.27;0.01
5.239862442016602;2.1;-15.6;-49.7;0.94;0.16;0.21
5.260053396224976;3.9;-16.6;-48.2;0.94;0.2;0.26
5.279882907867432;4.5;-19.9;-48.0;0.95;0.14;0.13
5.299994468688965;-1.4;-24.0;-46.1;0.95;0.13;0.11
5.319873571395874;-6.8;-24.9;-42.2;0.99;0.05;0.01
5.339905261993408;-11.9;-27.9;-44.3;1.01;0.11;-0.01
5.360053539276123;-11.5;-26.8;-40.6;1.0;-0.07;0.0
5.379830360412598;-18.2;-25.1;-44.5;1.0;0.18;-0.06
5.399892330169678;-11.2;-24.1;-43.3;0.99;0.03;-0.06
5.4200050830841064;-12.0;-21.9;-44.4;0.9;0.07;0.1
5.440049171447754;0.5;-19.4;-35.8;0.81;-0.49;0.21
5.460008859634399;-1.6;-13.7;-36.7;0.83;-0.25;0.25
5.479879140853882;-8.7;-11.3;-36.0;0.7;-0.22;0.44
5.499862909317017;-1.8;-12.0;-34.0;0.67;-0.62;0.39
5.520147800445557;-9.3;-12.0;-35.3;0.71;-0.46;0.29
5.540041208267212;-4.2;-17.3;-32.5;0.73;-0.82;0.26
5.559891700744629;-10.9;-16.8;-36.5;0.82;-0.42;0.18
5.580044269561768;-17.4;-14.6;-37.6;0.67;-0.19;0.32
5.599850416183472;-8.8;-16.6;-32.5;0.72;-0.73;0.33
5.619836091995239;-4.8;-17.4;-33.7;0.79;-0.71;0.41
5.639972686767578;-4.7;-19.9;-35.5;0.87;-0.43;0.23
5.660303592681885;-2.9;-20.1;-32.8;0.85;-0.61;0.19
5.679958820343018;-0.6;-17.7;-32.9;0.81;-0.58;0.32
5.699874401092529;-2.1;-17.5;-36.4;0.79;-0.52;0.43
5.72013783454895;-3.9;-16.7;-36.5;0.8;-0.61;0.32
5.7398858070373535;-11.5;-32.5;19.2;2.71;-4.2;-1.08
5.760053396224976;-32.6;24.6;66.7;0.09;-8.74;2.79
5.779901027679443;-79.6;16.9;348.1;-4.33;-22.75;2.35
5.79987645149231;-75.5;48.8;514.0;-13.43;-25.25;5.08
5.81990122795105;-52.8;26.2;344.7;-13.79;-13.34;4.5
5.839912414550781;-84.0;51.1;471.3;-18.32;-20.57;6.05
5.860022783279419;-80.0;53.6;503.6;-20.32;-22.71;4.88
5.880014657974243;-53.5;47.3;487.6;-20.83;-17.83;3.89
5.899814128875732;-72.2;34.9;498.5;-18.66;-21.3;1.27
5.920103311538696;-80.5;24.9;528.6;-17.2;-25.56;0.02
5.939830541610718;-81.0;21.9;573.8;-16.8;-27.86;-0.82
5.959885597229004;-88.8;19.9;529.3;-12.99;-27.44;-3.57
5.9800028800964355;-96.7;27.7;561.3;-0.78;-30.07;-3.92
5.999887466430664;-99.2;36.4;692.4;8.27;-31.55;-4.78
6.0198304653167725;-66.8;40.3;840.1;14.54;-24.28;-5.83
6.039999008178711;-6.6;28.2;645.9;18.6;-0.06;-6.91
6.059877395629883;-3.4;2.2;718.2;20.96;6.55;-8.62
6.079886198043823;-2.4;-1.3;755.0;18.63;14.6;-7.85
6.099872827529907;20.7;1.4;716.8;14.46;23.52;-6.36
6.119884729385376;33.4;-9.7;717.0;11.89;27.81;-6.9
6.139895915985107;29.2;-28.6;733.7;9.84;27.01;-8.64
6.159919261932373;29.0;-20.2;773.0;3.4;20.34;-9.02
6.180078983306885;-12.3;-12.8;681.2;-2.47;8.32;-10.01
6.200028657913208;-39.0;14.4;718.0;-11.68;0.98;-4.06
6.2198920249938965;-65.1;25.6;812.4;-18.33;-7.03;-0.64
6.2399001121521;-81.0;39.8;760.6;-23.52;-10.57;3.42
6.260135173797607;-78.0;44.4;738.3;-25.02;-6.61;7.29
6.280203104019165;-43.3;33.4;804.8;-23.45;5.67;7.97
6.299887657165527;-2.0;14.0;765.2;-17.8;20.11;7.89
6.319998502731323;19.9;-3.8;722.8;-11.57;29.96;4.77
6.339975118637085;36.9;-10.9;632.4;-8.23;31.28;1.94
6.359901189804077;42.8;-20.9;641.2;-8.56;31.24;-0.04
6.380026340484619;36.3;-23.9;710.7;-11.26;30.47;-1.02
6.400007486343384;21.8;-19.9;727.8;-16.09;25.86;-1.82
6.419867753982544;11.0;-4.0;710.0;-22.45;19.47;-0.63
6.439841032028198;2.6;16.0;704.2;-26.88;12.64;2.54
6.46000862121582;-10.9;23.4;719.8;-29.7;5.72;3.28
6.4798424243927;-1.0;27.3;747.7;-28.67;3.44;5.49
6.499869346618652;14.2;33.7;702.8;-26.42;6.13;8.23
6.519881963729858;28.2;23.3;675.4;-20.2;8.64;8.92
6.539886474609375;52.8;15.8;719.1;-15.15;10.95;8.65
6.559869766235352;56.7;3.4;696.9;-10.94;10.55;6.04
6.579965353012085;62.2;0.4;677.6;-8.63;7.17;4.86
6.599910020828247;61.0;-4.5;713.6;-7.57;0.72;4.81
6.620022296905518;53.1;-6.7;704.8;-8.14;-5.62;3.29
6.64002799987793;53.0;-2.5;692.6;-9.19;-13.44;3.34
6.659900665283203;70.9;11.4;770.0;-12.99;-19.26;5.34
6.6800243854522705;70.6;2.9;706.4;-22.3;-23.46;4.51
6.700169563293457;114.9;-1.4;737.7;-37.05;-18.34;6.69
6.720034122467041;132.3;-0.5;724.8;-43.74;-14.63;5.81
6.739907741546631;140.3;13.7;614.7;-39.46;-12.76;5.64
6.760050296783447;128.3;3.9;481.4;-29.52;-20.95;5.37
6.780004262924194;175.0;-0.2;687.3;-31.51;-36.1;4.45
6.799852132797241;130.2;-10.2;561.1;-18.54;-45.27;1.49
6.819851875305176;14.6;22.2;135.8;-6.49;-16.73;4.41
6.839887857437134;30.0;13.7;53.7;-3.04;-9.37;4.05
6.859876871109009;69.2;4.2;233.7;-5.2;-24.76;5.07
6.879835367202759;49.8;29.7;140.7;-4.62;-17.16;6.34
6.899877548217773;29.2;-7.1;154.0;-2.28;-18.3;3.28
6.919846773147583;38.3;-0.0;208.4;-2.11;-22.76;3.69
6.939905643463135;43.5;0.6;181.8;-2.49;-20.7;4.56
6.960069894790649;9.0;-2.7;12.4;-0.47;-5.83;2.77
6.979999542236328;-10.0;-20.9;-46.3;0.93;-0.01;0.22
6.999882698059082;-13.6;-19.1;-42.4;0.94;-0.0;0.25
7.020017623901367;-16.4;-21.0;-42.8;0.93;0.06;0.18
7.039897441864014;-15.2;-26.7;-42.8;0.98;-0.03;0.03
7.059857606887817;-13.2;-28.2;-45.2;1.02;0.06;0.05
7.079835653305054;-14.8;-24.1;-44.7;1.02;0.17;0.23
7.099961996078491;-13.6;-29.2;-41.6;0.97;0.06;0.05
7.119884014129639;-13.9;-25.2;-43.2;0.98;0.08;0.17
7.139866352081299;-12.0;-24.1;-44.4;0.96;0.1;0.14
7.160063982009888;-9.5;-19.5;-44.7;0.96;0.22;0.2
7.179890394210815;-1.6;-19.5;-47.7;0.97;0.26;0.28
7.199901103973389;-1.5;-20.2;-46.5;0.95;0.39;0.2
7.220124006271362;2.1;-19.0;-47.7;0.98;0.4;0.19
7.240012884140015;-2.5;-20.4;-46.0;0.95;0.4;0.24
7.259893894195557;-2.8;-24.2;-44.5;0.99;0.25;0.15
7.2798686027526855;-7.1;-25.5;-43.5;1.02;0.23;0.14
7.2999749183654785;-9.3;-29.3;-46.0;1.07;0.27;0.03
7.3198323249816895;-10.8;-27.1;-44.7;1.04;0.29;0.02
7.339960336685181;-6.1;-25.3;-43.2;1.04;0.15;0.08
7.359905958175659;-7.3;-25.2;-44.4;1.06;0.28;0.12
7.379936456680298;-1.9;-25.8;-40.8;1.04;0.02;0.18
7.400019884109497;-1.2;-24.0;-42.1;1.03;0.21;0.12
7.41991925239563;-3.9;-18.2;-41.1;0.87;0.22;0.3
7.439836502075195;-4.9;-16.8;-38.8;0.83;0.06;0.39
7.459813356399536;4.9;-15.6;-34.9;0.82;-0.47;0.42
7.479883432388306;-1.7;-15.9;-33.4;0.78;-0.6;0.51
7.499957084655762;-5.8;-15.4;-35.2;0.82;-0.38;0.41
7.519894599914551;-12.8;-15.8;-36.6;0.77;-0.28;0.45
7.540010929107666;-10.2;-16.3;-35.9;0.83;-0.35;0.4
7.5599706172943115;-6.4;-18.6;-34.5;0.83;-0.45;0.36
7.58006739616394;-3.6;-19.9;-36.4;0.82;-0.3;0.4
7.599942207336426;-0.4;-19.8;-32.4;0.93;-0.58;0.48
7.619948148727417;0.7;-21.6;-33.8;0.9;-0.45;0.38
7.639806032180786;0.9;-17.8;-33.9;0.87;-0.45;0.47
7.659862995147705;-2.8;-17.8;-36.1;0.87;-0.27;0.44
7.679991245269775;-6.4;-18.7;-35.2;0.87;-0.42;0.33
7.699877738952637;-109.8;-72.4;407.3;2.93;-32.05;-2.86
7.719880104064941;-108.9;-9.1;224.2;-2.93;-23.0;0.14
7.739905595779419;-18.4;48.5;145.6;-6.02;-16.8;5.39
7.759948492050171;-71.7;19.1;303.4;-10.78;-27.27;2.7
