time;force_x;force_y;force_z;torque_x;torque_y;torque_z
0.0;13.0;-5.9;194.6;0.06;-5.22;-0.38
0.0200960636138916;13.7;-5.9;196.1;0.09;-5.49;-0.29
0.03992319107055664;14.5;-5.8;196.9;0.11;-5.61;-0.23
0.059987783432006836;13.9;-5.8;196.4;0.11;-5.64;-0.17
0.07995414733886719;13.8;-5.7;195.7;0.09;-5.56;-0.19
0.0998678207397461;12.8;-5.6;194.3;0.03;-5.17;-0.28
0.11979341506958008;12.6;-5.5;195.1;0.0;-4.78;-0.36
0.1399991512298584;12.2;-5.1;193.7;-0.05;-4.3;-0.42
0.15993928909301758;11.6;-5.2;193.2;-0.09;-3.87;-0.43
0.1798996925354004;11.0;-4.7;192.0;-0.17;-3.46;-0.37
0.19991254806518555;10.9;-4.4;192.1;-0.25;-3.05;-0.29
0.2198960781097412;11.6;-4.4;193.4;-0.3;-2.91;-0.24
0.23984479904174805;11.2;-4.4;193.7;-0.34;-2.95;-0.21
0.25988197326660156;11.1;-4.4;192.7;-0.4;-2.72;-0.23
0.27990078926086426;11.1;-4.3;191.0;-0.47;-1.87;-0.27
0.29981112480163574;9.5;-3.9;188.4;-0.58;-1.32;-0.31
0.3198094367980957;8.6;-4.2;190.4;-0.63;-1.25;-0.33
0.3399958610534668;8.3;-3.8;187.6;-0.66;-1.13;-0.33
0.3598477840423584;8.3;-4.0;189.0;-0.63;-1.29;-0.33
0.379840612411499;8.7;-4.0;189.4;-0.64;-1.39;-0.34
0.3999507427215576;10.0;-4.1;188.7;-0.6;-1.42;-0.35
0.4198002815246582;10.1;-4.3;190.6;-0.54;-1.85;-0.33
0.43998146057128906;10.4;-4.3;191.2;-0.45;-2.41;-0.31
0.4598238468170166;10.6;-4.6;191.6;-0.33;-2.82;-0.31
0.48045873641967773;10.6;-4.7;192.0;-0.28;-3.27;-0.32
0.49985599517822266;11.4;-4.8;192.6;-0.23;-3.51;-0.34
0.5198712348937988;11.5;-5.1;192.5;-0.13;-4.27;-0.37
0.539971113204956;12.4;-5.7;194.4;-0.03;-4.97;-0.36
0.5599374771118164;13.6;-5.7;195.2;-0.01;-5.27;-0.32
0.5799555778503418;14.0;-5.5;196.4;0.01;-5.52;-0.26
0.5998630523681641;14.0;-5.8;196.0;0.07;-5.61;-0.24
0.6198570728302002;14.1;-5.6;195.4;0.06;-5.57;-0.21
0.6401488780975342;13.6;-5.7;195.2;0.05;-5.48;-0.24
0.6598567962646484;12.7;-5.4;194.4;0.0;-5.02;-0.29
0.6800165176391602;12.0;-5.3;194.5;-0.02;-4.73;-0.34
0.699833869934082;11.9;-5.2;194.4;-0.07;-4.23;-0.39
0.7199869155883789;11.3;-5.0;193.3;-0.12;-3.7;-0.41
0.739832878112793;10.9;-4.7;193.5;-0.16;-3.28;-0.37
0.7600181102752686;11.3;-4.6;194.5;-0.2;-2.99;-0.32
0.7798209190368652;11.1;-4.5;195.1;-0.23;-2.98;-0.26
0.7998635768890381;11.5;-4.8;194.7;-0.26;-2.89;-0.26
0.8198482990264893;11.6;-4.4;193.8;-0.35;-2.7;-0.23
0.8399336338043213;12.9;-3.9;192.5;-0.48;-1.86;-0.24
0.8598484992980957;9.8;-3.8;189.7;-0.59;-1.42;-0.26
0.8799929618835449;8.8;-3.9;190.2;-0.66;-1.23;-0.29
0.9000177383422852;9.1;-3.5;188.5;-0.74;-1.18;-0.31
0.9199895858764648;8.2;-3.6;187.9;-0.75;-1.29;-0.34
0.9398255348205566;8.5;-3.7;188.5;-0.75;-1.4;-0.36
