time;force_x;force_y;force_z;torque_x;torque_y;torque_z
0.0;12.5;-23.1;128.8;7.86;1.55;-1.37
0.019901514053344727;13.2;-25.6;141.1;8.97;1.35;-1.39
0.040010929107666016;13.5;-24.3;163.1;9.54;1.32;-1.08
0.059880971908569336;12.4;-20.5;189.9;9.63;1.16;-0.66
0.07988238334655762;12.6;-16.9;210.8;9.08;0.99;-0.31
0.09987163543701172;14.0;-13.0;217.1;8.11;1.13;-0.14
0.1199333667755127;15.3;-14.5;201.7;6.95;1.48;-0.44
0.13989615440368652;14.3;-17.5;165.0;6.48;1.72;-1.0
0.15990591049194336;15.6;-20.7;135.6;7.14;1.76;-1.38
0.17990374565124512;15.1;-26.3;125.5;7.98;1.47;-1.46
0.1999650001525879;12.2;-26.0;133.7;8.63;1.39;-1.27
0.2199535369873047;12.4;-23.4;156.2;9.22;1.35;-0.98
0.23987889289855957;12.0;-18.8;186.7;9.41;1.31;-0.58
0.2599067687988281;12.9;-16.3;210.9;9.06;1.22;-0.33
0.2799208164215088;12.5;-13.3;216.9;8.13;1.24;-0.21
0.29999876022338867;14.8;-15.8;200.4;7.29;1.43;-0.62
0.3199484348297119;15.0;-17.6;166.3;6.47;1.77;-1.1
0.3399500846862793;15.4;-21.1;136.2;7.33;1.68;-1.42
0.3599667549133301;14.9;-26.9;127.8;8.17;1.41;-1.48
0.3799464702606201;13.9;-26.7;134.9;8.69;1.47;-1.31
0.39990782737731934;13.0;-24.0;157.8;9.39;1.32;-0.96
0.42003774642944336;12.2;-19.5;192.2;9.66;1.15;-0.56
0.4399139881134033;12.9;-16.2;211.9;8.86;1.08;-0.28
0.4600942134857178;13.8;-12.8;214.9;7.97;1.18;-0.19
0.47989583015441895;15.1;-14.3;196.7;7.03;1.56;-0.61
0.4999053478240967;15.0;-17.6;165.4;6.41;1.74;-1.16
0.5199971199035645;15.3;-21.0;135.7;7.15;1.69;-1.47
0.5399186611175537;15.2;-26.8;126.3;8.09;1.47;-1.49
0.559952974319458;13.5;-26.2;135.5;8.75;1.39;-1.27
0.5802764892578125;13.0;-23.4;161.3;9.49;1.28;-0.91
0.5999586582183838;12.0;-19.5;190.5;9.66;1.19;-0.55
0.6199631690979004;12.3;-16.6;211.3;8.91;1.2;-0.3
0.6399717330932617;13.6;-14.6;212.9;8.0;1.32;-0.28
0.6602425575256348;14.4;-15.5;189.2;6.64;1.52;-0.7
0.6799495220184326;16.8;-18.7;158.8;6.44;1.83;-1.28
0.700009822845459;16.3;-21.9;133.9;7.49;1.67;-1.5
0.7201135158538818;13.7;-25.1;128.6;8.29;1.44;-1.47
0.7399897575378418;14.1;-26.9;145.2;9.22;1.36;-1.32
0.7600924968719482;12.1;-24.1;169.8;9.88;1.2;-0.92
0.7799441814422607;12.7;-19.9;196.9;9.85;1.18;-0.56
0.799882173538208;12.3;-17.2;216.4;8.8;1.06;-0.23
0.8199357986450195;11.6;-14.3;209.8;7.83;1.14;-0.3
0.8399500846862793;16.5;-14.6;192.8;6.85;1.48;-0.74
0.859919548034668;15.7;-18.3;157.6;6.35;1.67;-1.26
0.8799505233764648;15.3;-21.7;127.7;7.28;1.64;-1.47
0.9000349044799805;13.5;-25.7;122.6;8.03;1.42;-1.43
0.9198904037475586;14.8;-26.7;143.8;9.06;1.4;-1.27
0.9398825168609619;12.5;-22.9;169.6;9.67;1.21;-0.86
0.9598946571350098;12.3;-18.9;195.9;9.46;1.16;-0.49
0.9798979759216309;12.7;-16.9;215.9;8.73;1.13;-0.25
0.99996018409729;12.0;-14.4;206.3;7.59;1.24;-0.29
1.0201902389526367;16.1;-15.5;188.0;6.41;1.6;-0.73
1.0399284362792969;16.4;-19.1;151.0;6.59;1.77;-1.35
1.060034990310669;15.8;-22.4;128.1;7.66;1.59;-1.48
1.0799050331115723;14.6;-25.4;128.5;8.37;1.4;-1.48
1.0999577045440674;14.4;-26.7;147.4;9.26;1.29;-1.24
1.1200482845306396;12.9;-22.7;176.2;9.97;1.2;-0.88
1.140026569366455;12.2;-19.6;201.6;9.84;1.08;-0.51
1.1598637104034424;11.5;-13.7;216.5;8.42;1.11;-0.21
1.1798808574676514;15.8;-12.6;213.4;7.59;1.34;-0.35
1.2000048160552979;15.0;-15.9;187.0;6.58;1.52;-0.86
1.2200229167938232;12.8;-21.5;172.6;8.26;1.48;-1.46
1.2399427890777588;13.3;-27.8;195.5;11.52;0.69;-1.38
1.259981393814087;14.5;-34.2;236.7;14.46;0.22;-1.48
1.2800774574279785;12.2;-37.0;275.7;16.12;-0.39;-1.21
1.2999916076660156;9.0;-33.2;312.1;16.67;-0.81;-0.9
1.3198935985565186;9.5;-33.8;341.9;17.06;-0.74;-1.08
1.33986496925354;10.0;-33.3;372.7;17.86;-0.66;-1.3
1.3600168228149414;12.8;-33.7;384.6;18.31;-0.31;-1.49
1.3799498081207275;11.8;-38.6;372.2;18.75;-0.32;-1.66
1.3999879360198975;10.2;-40.8;352.8;18.86;-0.34;-1.92
1.4200165271759033;10.0;-45.7;336.6;18.91;-0.1;-2.21
1.4398818016052246;10.9;-48.1;331.2;18.91;0.17;-2.44
1.459887981414795;15.5;-33.9;189.5;12.68;1.13;-1.9
1.4799668788909912;11.4;1.1;-47.2;0.76;0.44;-0.75
1.4999043941497803;9.1;-14.4;-58.3;-0.2;-0.01;-0.71
1.5198771953582764;7.9;-21.3;-57.7;-0.22;-0.03;-0.68
1.5400872230529785;8.0;-21.2;-57.6;-0.23;-0.07;-0.73
1.5599515438079834;7.4;-15.9;-60.3;-0.3;-0.03;-0.69
1.5802478790283203;7.5;-16.2;-57.9;-0.31;-0.09;-0.78
1.599907398223877;9.3;-15.7;-56.2;-0.32;-0.09;-0.69
1.6199047565460205;11.0;-13.9;-57.9;-0.33;-0.05;-0.68
1.6400146484375;13.2;-11.7;-57.3;-0.34;-0.08;-0.72
1.659853458404541;13.2;-12.8;-56.0;-0.33;-0.08;-0.72
1.6800191402435303;13.3;-14.1;-56.7;-0.33;-0.1;-0.78
1.6999213695526123;12.8;-15.8;-56.4;-0.28;-0.15;-0.8
