time;force_x;force_y;force_z;torque_x;torque_y;torque_z
0.0;-6.7;-2.1;498.8;13.23;-14.72;0.28
0.020076990127563477;-6.6;-2.1;498.2;13.25;-14.68;0.26
0.03987717628479004;-6.8;-2.2;497.9;13.29;-14.68;0.25
0.05987048149108887;-6.9;-2.2;498.1;13.35;-14.65;0.24
0.07998132705688477;-7.0;-2.4;497.6;13.41;-14.65;0.23
0.09996867179870605;-6.9;-2.4;497.9;13.44;-14.63;0.24
0.11982464790344238;-6.8;-2.4;497.2;13.43;-14.6;0.25
0.14003992080688477;-6.9;-2.1;497.1;13.35;-14.65;0.26
0.15985608100891113;-6.8;-2.1;497.1;13.3;-14.66;0.27
0.17990612983703613;-6.9;-2.1;497.5;13.31;-14.64;0.25
0.19990134239196777;-7.0;-2.3;498.4;13.33;-14.66;0.24
0.21995878219604492;-6.9;-2.5;498.4;13.34;-14.66;0.24
0.23982620239257812;-6.9;-2.4;498.6;13.35;-14.61;0.24
0.2598302364349365;-6.8;-2.4;499.0;13.33;-14.64;0.25
0.27988576889038086;-6.8;-2.3;499.1;13.28;-14.66;0.26
0.2998337745666504;-6.8;-2.1;498.6;13.23;-14.65;0.26
0.3201146125793457;-6.9;-2.2;498.2;13.24;-14.64;0.24
0.3399391174316406;-6.8;-2.3;497.8;13.28;-14.61;0.23
0.3599874973297119;-6.9;-2.2;497.7;13.34;-14.6;0.23
0.37984228134155273;-7.0;-2.4;497.3;13.39;-14.6;0.23
0.40003418922424316;-7.1;-2.4;497.2;13.44;-14.62;0.24
0.4199044704437256;-7.2;-2.3;496.8;13.43;-14.61;0.25
0.43992114067077637;-7.0;-2.2;496.0;13.39;-14.6;0.27
0.4599494934082031;-6.9;-2.2;496.0;13.36;-14.6;0.26
0.4799060821533203;-7.0;-2.2;496.4;13.36;-14.62;0.24
0.4998791217803955;-7.0;-2.3;496.8;13.35;-14.65;0.24
0.5199663639068604;-7.1;-2.4;497.7;13.37;-14.67;0.23
0.5398225784301758;-7.0;-2.5;498.3;13.38;-14.68;0.24
0.5598835945129395;-7.0;-2.4;498.6;13.35;-14.68;0.25
0.5798661708831787;-6.9;-2.2;498.8;13.29;-14.67;0.27
0.5998721122741699;-6.8;-2.1;498.8;13.26;-14.66;0.28
0.6199777126312256;-6.8;-2.1;498.7;13.24;-14.63;0.27
0.6398153305053711;-6.8;-2.1;498.7;13.26;-14.6;0.26
0.6600170135498047;-6.9;-2.3;498.6;13.3;-14.59;0.24
0.679844856262207;-6.9;-2.4;498.6;13.35;-14.61;0.23
0.6998403072357178;-6.8;-2.4;498.6;13.39;-14.61;0.24
0.719881534576416;-6.8;-2.4;498.3;13.38;-14.63;0.25
0.7398684024810791;-6.8;-2.3;498.1;13.35;-14.65;0.25
0.7598559856414795;-6.9;-2.3;497.3;13.33;-14.65;0.27
0.7799644470214844;-6.8;-2.2;497.5;13.33;-14.67;0.26
0.7998721599578857;-6.8;-2.2;497.3;13.34;-14.7;0.25
0.819941520690918;-6.8;-2.4;497.6;13.37;-14.72;0.24
